id,channel,agent,customer_message,agent_message,timestamp,handle_time_seconds,resolved,first_call_resolution,csat,compliance_violation
62,chat,Agent H,Question about product feature and delivery time.,"Sorry for the inconvenience. Thank you, I will assist.",2025-05-22 14:35:43,882,1,0,4,0
63,chat,Agent A,Question about product feature and delivery time.,,2025-10-01 09:09:07,596,1,0,3,0
64,chat,Agent E,Question about product feature and delivery time.,"Sorry for the inconvenience. Resolved, I will assist.",2025-08-29 12:21:26,146,0,0,2,0
65,chat,Agent K,I have an problem with my order.,,2025-01-28 09:22:51,117,0,0,4,0
66,email,Agent D,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-09-25 11:27:44,1816,1,0,4,0
67,email,Agent L,Question about product feature and delivery time.,"Sorry for the inconvenience. Thanks, I will assist.",2025-02-20 14:56:33,1042,1,0,4,0
68,email,Agent E,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-01-17 10:06:25,351,1,0,4,0
69,email,Agent K,I have an not working with my order.,Please try resetting and let us know if the issue persists.,2025-04-12 11:52:10,3445,1,0,5,0
70,call,Agent O,I have an angry with my order.,"Sorry for the inconvenience. Great, I will assist.",2025-05-28 11:59:50,1204,1,0,5,0
71,email,Agent O,Question about product feature and delivery time.,"Sorry for the inconvenience. Happy, I will assist.",2025-08-10 14:41:09,2464,0,0,4,0
72,chat,Agent M,Question about product feature and delivery time.,"Sorry for the inconvenience. Happy, I will assist.",2025-03-31 12:16:57,476,1,1,4,0
73,chat,Agent F,I have an not working with my order.,"Sorry for the inconvenience. Great, I will assist.",2025-06-14 14:05:58,708,0,0,3,0
74,chat,Agent F,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-03-01 15:01:54,703,0,0,2,0
75,chat,Agent I,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-07-05 13:40:02,238,1,1,3,0
76,chat,Agent K,I have an problem with my order.,"Sorry for the inconvenience. Thanks, I will assist.",2025-05-03 14:27:38,891,0,0,5,0
77,chat,Agent N,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-03-20 12:32:10,455,0,0,3,0
78,chat,Agent O,Question about product feature and delivery time.,,2025-09-18 14:47:34,312,0,0,2,0
79,chat,Agent M,Question about product feature and delivery time.,"Sorry for the inconvenience. Happy, I will assist.",2025-09-17 10:25:54,623,0,0,3,0
80,chat,Agent I,Question about product feature and delivery time.,"Sorry for the inconvenience. Thanks, I will assist.",2025-10-06 11:26:00,615,1,0,4,0
81,chat,Agent F,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-08-31 14:25:08,841,0,0,3,0
82,email,Agent J,I have an can't with my order.,Please try resetting and let us know if the issue persists.,2025-06-19 15:54:58,122,1,1,3,0
83,chat,Agent H,Question about product feature and delivery time.,"Sorry for the inconvenience. Great, I will assist.",2025-05-16 11:04:53,720,0,0,2,0
84,email,Agent N,Question about product feature and delivery time.,"Sorry for the inconvenience. Great, I will assist.",2025-10-05 08:19:36,991,1,0,4,0
85,chat,Agent K,I have an delay with my order.,,2025-02-21 12:02:18,77,1,1,3,0
86,chat,Agent K,I have an problem with my order.,,2025-04-03 09:32:50,664,1,0,4,0
87,email,Agent D,Question about product feature and delivery time.,"Sorry for the inconvenience. Resolved, I will assist.",2025-08-25 13:48:22,1238,1,0,4,0
88,email,Agent K,Question about product feature and delivery time.,"Sorry for the inconvenience. Resolved, I will assist.",2025-08-06 14:17:00,3555,1,0,5,0
89,email,Agent J,Question about product feature and delivery time.,,2025-06-01 14:21:53,2756,1,0,5,0
90,call,Agent O,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-09-12 15:34:50,1423,0,0,3,0
91,chat,Agent E,I have an angry with my order.,"Sorry for the inconvenience. Resolved, I will assist.",2025-03-12 13:43:06,64,1,1,5,0
92,chat,Agent C,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-10-04 15:58:39,880,1,0,4,0
93,call,Agent M,Question about product feature and delivery time.,"Sorry for the inconvenience. Thank you, I will assist.",2025-06-01 14:47:43,468,0,0,3,0
94,chat,Agent N,I have an can't with my order.,"Sorry for the inconvenience. Resolved, I will assist.",2025-10-13 11:19:45,407,1,1,5,0
95,call,Agent F,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-02-25 14:08:33,1329,1,0,3,0
96,email,Agent L,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-06-04 13:54:34,1306,0,0,2,0
97,chat,Agent I,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-03-11 11:32:15,583,1,1,4,0
98,email,Agent G,Question about product feature and delivery time.,"Sorry for the inconvenience. Thanks, I will assist.",2025-05-24 08:17:52,3563,1,0,5,0
99,chat,Agent O,Question about product feature and delivery time.,"Sorry for the inconvenience. Resolved, I will assist.",2025-07-03 08:33:04,123,1,1,4,0
100,chat,Agent C,I have an problem with my order.,"Sorry for the inconvenience. Thanks, I will assist.",2025-10-17 09:52:04,366,0,0,3,0
101,email,Agent E,Question about product feature and delivery time.,"Sorry for the inconvenience. Thank you, I will assist.",2025-03-16 09:10:59,599,1,1,4,0
102,chat,Agent L,I have an issue with my order.,Please try resetting and let us know if the issue persists.,2025-08-04 12:47:18,555,1,1,4,0
103,email,Agent L,Question about product feature and delivery time.,,2025-09-24 10:44:43,309,0,0,3,0
104,email,Agent H,Question about product feature and delivery time.,"Sorry for the inconvenience. Happy, I will assist.",2025-02-07 08:44:07,2653,1,0,3,0
105,chat,Agent J,Question about product feature and delivery time.,"Sorry for the inconvenience. Thank you, I will assist.",2025-09-29 10:41:03,700,1,0,4,0
106,email,Agent D,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-07-31 11:05:06,1340,1,0,2,0
107,chat,Agent C,I have an issue with my order.,"Sorry for the inconvenience. Great, I will assist.",2025-08-31 08:36:39,861,1,0,5,0
108,email,Agent G,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-07-01 15:57:06,3013,1,0,4,0
109,chat,Agent B,Question about product feature and delivery time.,"Sorry for the inconvenience. Thank you, I will assist.",2025-10-23 12:37:06,388,0,0,2,0
110,call,Agent N,Question about product feature and delivery time.,"Sorry for the inconvenience. Thank you, I will assist.",2025-10-15 14:59:07,1427,0,0,4,0
111,chat,Agent C,Question about product feature and delivery time.,,2025-05-20 14:23:46,389,1,0,3,0
112,email,Agent A,Question about product feature and delivery time.,"Sorry for the inconvenience. Thanks, I will assist.",2025-02-16 14:47:28,1575,1,0,4,0
113,call,Agent J,I have an problem with my order.,"Sorry for the inconvenience. Resolved, I will assist.",2025-02-13 08:28:43,1535,1,0,3,0
114,email,Agent F,Question about product feature and delivery time.,"Sorry for the inconvenience. Great, I will assist.",2025-08-09 09:00:33,246,1,0,3,0
115,chat,Agent D,Question about product feature and delivery time.,"Sorry for the inconvenience. Resolved, I will assist.",2025-03-12 14:57:20,209,1,1,4,0
116,chat,Agent G,I have an issue with my order.,,2025-01-22 11:58:14,619,1,0,5,0
117,email,Agent E,I have an delay with my order.,Please try resetting and let us know if the issue persists.,2025-02-28 11:41:12,1944,0,0,3,0
118,chat,Agent J,I have an delay with my order.,"Sorry for the inconvenience. Thanks, I will assist.",2025-07-25 12:46:09,108,1,1,4,0
119,call,Agent F,Question about product feature and delivery time.,"Sorry for the inconvenience. Thank you, I will assist.",2025-06-29 14:37:14,479,1,1,5,0
120,call,Agent K,Question about product feature and delivery time.,"Sorry for the inconvenience. Happy, I will assist.",2025-09-10 12:13:22,1496,1,0,5,0
121,call,Agent K,Question about product feature and delivery time.,"Sorry for the inconvenience. Great, I will assist.",2025-06-11 09:22:26,1391,1,0,3,0
122,chat,Agent N,Question about product feature and delivery time.,,2025-05-27 08:41:54,122,1,1,3,0
123,email,Agent M,Question about product feature and delivery time.,"Sorry for the inconvenience. Happy, I will assist.",2025-01-22 12:05:36,2008,1,0,5,0
124,call,Agent L,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-02-13 12:35:33,1079,1,0,3,0
125,chat,Agent O,Question about product feature and delivery time.,"Sorry for the inconvenience. Great, I will assist.",2025-05-25 11:31:34,97,1,1,4,0
126,call,Agent J,I have an angry with my order.,"Sorry for the inconvenience. Resolved, I will assist.",2025-03-18 11:02:03,444,1,0,4,0
127,chat,Agent M,I have an angry with my order.,Please try resetting and let us know if the issue persists.,2025-06-18 15:24:06,731,0,0,3,0
128,chat,Agent E,Question about product feature and delivery time.,"Sorry for the inconvenience. Thanks, I will assist.",2025-04-03 09:56:58,188,1,1,5,0
129,email,Agent N,Question about product feature and delivery time.,,2025-09-27 08:20:36,2591,1,0,3,0
130,email,Agent M,Question about product feature and delivery time.,"Sorry for the inconvenience. Thanks, I will assist.",2025-03-26 14:33:51,1879,1,0,4,0
131,email,Agent D,Question about product feature and delivery time.,"Sorry for the inconvenience. Thanks, I will assist.",2025-10-01 10:10:37,1566,1,0,3,0
132,email,Agent I,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-09-28 11:48:38,626,0,0,2,0
133,email,Agent F,Question about product feature and delivery time.,"Sorry for the inconvenience. Thank you, I will assist.",2025-10-11 08:56:01,3185,1,0,3,0
134,chat,Agent O,Question about product feature and delivery time.,"Sorry for the inconvenience. Thank you, I will assist.",2025-04-24 15:26:01,435,1,1,4,0
135,chat,Agent A,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-06-13 08:54:06,170,1,0,2,0
136,email,Agent J,I have an not working with my order.,"Sorry for the inconvenience. Happy, I will assist.",2025-01-03 08:43:16,2221,1,0,4,0
137,chat,Agent B,Question about product feature and delivery time.,"Sorry for the inconvenience. Thank you, I will assist.",2025-01-25 10:10:13,886,0,0,3,0
138,chat,Agent C,I have an delay with my order.,"Sorry for the inconvenience. Thank you, I will assist.",2025-05-30 11:54:25,566,0,0,3,0
139,email,Agent I,I have an can't with my order.,"Sorry for the inconvenience. Great, I will assist.",2025-09-17 13:02:38,1098,1,0,4,0
140,email,Agent B,Question about product feature and delivery time.,"Sorry for the inconvenience. Great, I will assist.",2025-10-25 14:41:30,3392,1,0,4,0
141,email,Agent L,I have an not working with my order.,Please try resetting and let us know if the issue persists.,2025-09-03 13:45:00,1934,1,0,4,0
142,chat,Agent E,Question about product feature and delivery time.,"Sorry for the inconvenience. Thanks, I will assist.",2025-09-21 11:37:29,322,1,1,5,0
143,chat,Agent B,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-07-08 11:58:38,425,1,1,3,0
144,chat,Agent B,Question about product feature and delivery time.,,2025-08-06 08:43:06,214,1,1,3,0
145,email,Agent E,Question about product feature and delivery time.,"Sorry for the inconvenience. Resolved, I will assist.",2025-08-17 13:29:06,233,1,0,3,0
146,email,Agent A,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-02-08 14:06:33,2842,1,0,3,0
147,call,Agent K,I have an not working with my order.,"Sorry for the inconvenience. Resolved, I will assist.",2025-08-13 08:19:00,1341,1,0,4,0
148,chat,Agent B,Question about product feature and delivery time.,"Sorry for the inconvenience. Thanks, I will assist.",2025-10-21 09:15:11,146,1,1,5,0
149,call,Agent B,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-05-15 15:03:14,764,1,0,4,0
150,chat,Agent C,Question about product feature and delivery time.,,2025-08-16 08:47:56,357,1,1,3,0
151,chat,Agent E,Question about product feature and delivery time.,"Sorry for the inconvenience. Great, I will assist.",2025-03-22 14:28:44,550,1,0,4,0
152,chat,Agent J,Question about product feature and delivery time.,"Sorry for the inconvenience. Thank you, I will assist.",2025-07-08 12:15:15,97,1,0,3,0
153,email,Agent M,Question about product feature and delivery time.,"Sorry for the inconvenience. Thank you, I will assist.",2025-07-29 15:29:39,1903,1,0,4,0
154,email,Agent J,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-04-04 14:59:18,286,0,0,2,0
155,chat,Agent C,Question about product feature and delivery time.,,2025-06-15 14:27:23,561,0,0,3,0
156,email,Agent C,Question about product feature and delivery time.,"Sorry for the inconvenience. Happy, I will assist.",2025-06-05 13:35:33,691,1,0,3,0
157,call,Agent F,Question about product feature and delivery time.,"Sorry for the inconvenience. Happy, I will assist.",2025-10-16 08:22:29,722,1,0,4,0
158,email,Agent K,Question about product feature and delivery time.,"Sorry for the inconvenience. Resolved, I will assist.",2025-10-07 10:38:11,1278,1,0,3,0
159,chat,Agent G,Question about product feature and delivery time.,"Sorry for the inconvenience. Great, I will assist.",2025-09-05 12:13:38,781,0,0,3,0
160,email,Agent B,Question about product feature and delivery time.,"Sorry for the inconvenience. Thank you, I will assist.",2025-06-13 10:12:01,267,1,1,5,0
161,chat,Agent N,Question about product feature and delivery time.,"Sorry for the inconvenience. Thanks, I will assist.",2025-03-23 15:24:16,540,0,0,1,0
162,chat,Agent G,Question about product feature and delivery time.,"Sorry for the inconvenience. Thank you, I will assist.",2025-09-16 12:09:42,318,1,0,4,0
163,email,Agent I,I have an not working with my order.,,2025-01-05 15:42:40,3039,1,0,3,0
164,email,Agent F,I have an problem with my order.,"Sorry for the inconvenience. Happy, I will assist.",2025-10-11 10:37:36,2846,1,0,4,0
165,chat,Agent F,Question about product feature and delivery time.,"Sorry for the inconvenience. Happy, I will assist.",2025-06-23 13:04:39,441,1,1,4,0
166,email,Agent J,Question about product feature and delivery time.,"Sorry for the inconvenience. Happy, I will assist.",2025-09-21 09:16:20,3088,0,0,4,0
167,email,Agent I,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-09-30 12:27:31,1568,1,0,4,0
168,call,Agent N,Question about product feature and delivery time.,,2025-01-14 13:25:59,1783,0,0,3,0
169,chat,Agent A,I have an angry with my order.,Please try resetting and let us know if the issue persists.,2025-10-26 12:22:23,419,1,1,5,0
170,chat,Agent F,Question about product feature and delivery time.,"Sorry for the inconvenience. Happy, I will assist.",2025-08-03 09:22:42,512,0,0,3,0
171,chat,Agent C,Question about product feature and delivery time.,,2025-09-23 09:53:14,519,1,1,4,0
172,chat,Agent M,Question about product feature and delivery time.,,2025-05-16 13:33:10,315,1,1,5,0
173,chat,Agent E,Question about product feature and delivery time.,"Sorry for the inconvenience. Great, I will assist.",2025-04-17 14:16:57,324,1,1,2,0
174,call,Agent M,I have an angry with my order.,Please try resetting and let us know if the issue persists.,2025-03-16 10:38:37,1523,1,0,5,0
175,chat,Agent I,Question about product feature and delivery time.,"Sorry for the inconvenience. Happy, I will assist.",2025-05-19 13:06:56,275,1,1,3,0
176,chat,Agent L,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-08-30 08:54:54,191,1,0,3,0
177,email,Agent D,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-05-28 10:55:24,2731,1,0,2,0
178,call,Agent C,I have an issue with my order.,,2025-08-02 15:37:26,993,0,0,2,0
179,email,Agent N,I have an delay with my order.,"Sorry for the inconvenience. Great, I will assist.",2025-05-29 15:58:49,1225,1,0,3,0
180,chat,Agent I,I have an issue with my order.,Please try resetting and let us know if the issue persists.,2025-08-28 10:29:00,693,1,0,3,0
181,email,Agent M,Question about product feature and delivery time.,"Sorry for the inconvenience. Resolved, I will assist.",2025-06-01 13:10:05,3447,1,0,4,0
182,call,Agent H,I have an can't with my order.,Please try resetting and let us know if the issue persists.,2025-06-15 10:15:28,855,1,0,4,0
183,chat,Agent K,Question about product feature and delivery time.,"Sorry for the inconvenience. Thanks, I will assist.",2025-07-04 14:18:20,445,1,0,5,0
184,email,Agent E,Question about product feature and delivery time.,,2025-07-08 13:35:40,2018,1,0,3,0
185,email,Agent G,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-10-09 12:17:08,3180,1,0,4,0
186,chat,Agent L,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-07-05 08:42:39,547,1,1,2,0
187,call,Agent H,Question about product feature and delivery time.,"Sorry for the inconvenience. Happy, I will assist.",2025-03-01 14:11:31,1092,0,0,2,0
188,chat,Agent H,I have an delay with my order.,Please try resetting and let us know if the issue persists.,2025-06-07 14:35:00,622,1,0,4,0
189,email,Agent I,Question about product feature and delivery time.,"Sorry for the inconvenience. Thanks, I will assist.",2025-01-31 08:37:41,3209,1,0,3,0
190,chat,Agent O,Question about product feature and delivery time.,,2025-07-15 12:04:57,414,1,0,2,0
191,chat,Agent N,I have an problem with my order.,"Sorry for the inconvenience. Thanks, I will assist.",2025-06-28 09:04:47,884,1,0,5,0
192,email,Agent I,Question about product feature and delivery time.,"Sorry for the inconvenience. Thanks, I will assist.",2025-07-14 15:29:39,3029,0,0,3,0
193,email,Agent J,Question about product feature and delivery time.,"Sorry for the inconvenience. Happy, I will assist.",2025-01-09 10:11:26,2812,1,0,5,0
194,chat,Agent D,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-01-29 09:16:31,779,1,0,4,0
195,email,Agent N,Question about product feature and delivery time.,"Sorry for the inconvenience. Thanks, I will assist.",2025-06-14 10:09:22,1753,1,0,5,0
196,call,Agent K,Question about product feature and delivery time.,,2025-08-07 13:03:34,1497,1,0,4,0
197,chat,Agent G,Question about product feature and delivery time.,"Sorry for the inconvenience. Thanks, I will assist.",2025-07-29 09:21:29,899,1,0,4,0
198,chat,Agent G,Question about product feature and delivery time.,"Sorry for the inconvenience. Great, I will assist.",2025-08-02 13:04:21,692,1,0,4,0
199,chat,Agent I,Question about product feature and delivery time.,"Sorry for the inconvenience. Thank you, I will assist.",2025-04-08 08:28:08,222,0,0,2,0
200,chat,Agent O,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-06-20 10:45:34,789,1,0,3,0
201,email,Agent D,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-04-15 11:36:36,1619,1,0,3,0
202,call,Agent H,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-02-20 15:18:26,596,1,1,3,0
203,chat,Agent C,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-01-09 10:22:25,332,1,1,2,0
204,email,Agent K,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-06-22 10:20:32,3089,1,0,5,0
205,email,Agent C,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-03-13 14:33:23,2688,0,0,1,0
206,call,Agent A,I have an angry with my order.,Please try resetting and let us know if the issue persists.,2025-01-04 11:45:13,198,1,1,3,0
207,email,Agent O,Question about product feature and delivery time.,"Sorry for the inconvenience. Thank you, I will assist.",2025-09-05 14:00:03,128,1,1,4,0
208,email,Agent M,Question about product feature and delivery time.,"Sorry for the inconvenience. Happy, I will assist.",2025-04-02 08:58:26,2216,1,0,4,0
209,email,Agent B,Question about product feature and delivery time.,"Sorry for the inconvenience. Great, I will assist.",2025-07-11 11:41:44,2861,0,0,5,0
210,chat,Agent G,Question about product feature and delivery time.,"Sorry for the inconvenience. Thanks, I will assist.",2025-07-14 11:25:59,114,1,1,5,0
211,email,Agent N,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-02-18 12:48:26,2895,0,0,2,0
212,call,Agent O,Question about product feature and delivery time.,Please try resetting and let us know if the issue persists.,2025-10-06 13:07:45,212,0,0,3,0
213,email,Agent L,Question about product feature and delivery time.,"Sorry for the inconvenience. Resolved, I will assist.",2025-07-23 08:42:01,2833,0,0,2,0
214,call,Agent L,Question about product feature and delivery time.,"Sorry for the inconvenience. Thanks, I will assist.",2025-02-10 12:33:29,335,1,1,5,0
215,chat,Agent M,Question about product feature and delivery time.,"Sorry for the inconvenience. Thanks, I will assist.",2025-06-17 08:16:10,394,1,1,4,0
216,email,Agent E,I have an delay with my order.,Please try resetting and let us know if the issue persists.,2025-05-07 14:29:27,2656,1,0,4,0
217,chat,Agent B,Question about product feature and delivery time.,"Sorry for the inconvenience. Thank you, I will assist.",2025-01-03 10:48:21,221,1,1,4,0
